occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Prunella vulgaris","Prunella vulgaris L.","5341297","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Prunella","Prunella vulgaris","Prunella vulgaris","L.","5341297",
,"Crepis setosa","Crepis setosa Haller fil.","4245384","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Crepis","Crepis setosa","Crepis setosa","Haller fil.","4245384",
,"Crepis setosa","Crepis setosa Haller fil.","4245384","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Crepis","Crepis setosa","Crepis setosa","Haller fil.","4245384",
,"Crepis setosa","Crepis setosa Haller fil.","4245384","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Crepis","Crepis setosa","Crepis setosa","Haller fil.","4245384",
,"Crepis setosa","Crepis setosa Haller fil.","4245384","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Crepis","Crepis setosa","Crepis setosa","Haller fil.","4245384",
,"Crepis setosa","Crepis setosa Haller fil.","4245384","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Crepis","Crepis setosa","Crepis setosa","Haller fil.","4245384",
,"Crepis setosa","Crepis setosa Haller fil.","4245384","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Crepis","Crepis setosa","Crepis setosa","Haller fil.","4245384",
,"Crepis setosa","Crepis setosa Haller fil.","4245384","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Crepis","Crepis setosa","Crepis setosa","Haller fil.","4245384",
,"Crepis setosa","Crepis setosa Haller fil.","4245384","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Crepis","Crepis setosa","Crepis setosa","Haller fil.","4245384",
,"Crepis setosa","Crepis setosa Haller fil.","4245384","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Crepis","Crepis setosa","Crepis setosa","Haller fil.","4245384",
,"Crepis setosa","Crepis setosa Haller fil.","4245384","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Crepis","Crepis setosa","Crepis setosa","Haller fil.","4245384",
,"Crepis setosa","Crepis setosa Haller fil.","4245384","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Crepis","Crepis setosa","Crepis setosa","Haller fil.","4245384",
,"Crepis setosa","Crepis setosa Haller fil.","4245384","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Crepis","Crepis setosa","Crepis setosa","Haller fil.","4245384",
,"Crepis setosa","Crepis setosa Haller fil.","4245384","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Crepis","Crepis setosa","Crepis setosa","Haller fil.","4245384",
,"Crepis setosa","Crepis setosa Haller fil.","4245384","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Crepis","Crepis setosa","Crepis setosa","Haller fil.","4245384",
,"Crepis setosa","Crepis setosa Haller fil.","4245384","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Crepis","Crepis setosa","Crepis setosa","Haller fil.","4245384",
,"Crepis setosa","Crepis setosa Haller fil.","4245384","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Crepis","Crepis setosa","Crepis setosa","Haller fil.","4245384",
,"Crepis setosa","Crepis setosa Haller fil.","4245384","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Crepis","Crepis setosa","Crepis setosa","Haller fil.","4245384",
,"Crepis setosa","Crepis setosa Haller fil.","4245384","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Crepis","Crepis setosa","Crepis setosa","Haller fil.","4245384",
,"Centaurium erythraea","Centaurium erythraea Rafn","5414457","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","Centaurium","Centaurium erythraea","Centaurium erythraea","Rafn","5414457",
,"Hypericum perforatum","Hypericum perforatum L.","3189486","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Hypericaceae","Hypericum","Hypericum perforatum","Hypericum perforatum","L.","3189486",
,"Hypericum perforatum","Hypericum perforatum L.","3189486","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Hypericaceae","Hypericum","Hypericum perforatum","Hypericum perforatum","L.","3189486",
,"Clarkia purpurea","Clarkia purpurea (Curtis) A.Nelson & J.F.Macbr.","5420968","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Clarkia","Clarkia purpurea","Clarkia purpurea","(Curtis) A.Nelson & J.F.Macbr.","5420968",
